OBJECTID,station_eu,component_,statistics,statisti_1,statistic_,station__1,country_na,type_of_st,station_ty,station__2,station_la,nb_luabloc,nb_luAgloc2010,nb_luFrloc,nb_luGUloc,nb_luIdloc2010,nb_luUrloc2010,nb_pop2010,nb_proxAg_empl,nb_proxAg_gva,nb_proxId_empl,nb_proxId_gva,nb_proxUr_empl,nb_proxUr_gva,nb_rHloc,nb_rLloc,nb_rMloc,nb_toploc,re_coastal,re_mdtall,re_tempall,re_windspa,r_proxIf2010,r_proxIn2010,r_proxUr2010
30,AT2WO35,8,2010,day,12.077,AT2WO35,AUSTRIA,Background,rural,14.891953,46.708057,0,4400,600,0,0,0,0,833.1119995,0.488346,0,0,0,0,0,0,0,1.5999,5.1542201,518,7.63658,0,19423.19922,0,389.2269897
31,AT30065,8,2010,day,23.517,AT30065,AUSTRIA,Background,suburban,16.175564,48.207222,0,0,400,0,400,1700,0,118.2580032,0.941864,255730,20.0793991,36645.80078,2.2189701,0,47,0,1.64565,5.5226102,246,10.2531004,1.83474,29241.5,26233.90039,6097.890137
32,AT30201,8,2010,day,17.218,AT30201,AUSTRIA,Background,suburban,16.206951,47.959999,0,1400,0,400,100,2200,0,27.2318001,0.430956,513121,23.3225002,96985.29688,6.9853601,0,0,0,1.96981,5.49545,265,10.0388002,2.71503,33937.30078,78701.79688,11547.09961
33,AT30202,8,2010,day,9.977,AT30202,AUSTRIA,Background,rural,15.919448,48.10611,0,4100,1300,0,0,0,0,1019.450012,1.02463,0,0,0,0,0,33,0,1.72821,5.49541,574,9.4620104,2.5678999,13020,0,0
34,AT30302,8,2010,day,15.856,AT30302,AUSTRIA,Background,rural,16.676674,48.050831,0,7700,0,0,0,0,0,789.7210083,0.742724,6841.620117,0.630339,0,0,0,0,0,1.97798,5.5364299,221,10.8662004,1.89182,18356,1140.609985,1513.660034
35,AT30403,8,2010,day,15.373,AT30403,AUSTRIA,Background,rural,16.522228,48.392223,0,6600,0,0,0,0,0,739.1129761,0.879666,287696,4.0158701,0,0,0,0,0,1.95815,5.5624299,228,10.5276003,3.6877799,43328.69922,41061.80078,5405.930176
36,AT30407,8,2010,day,15.629,AT30407,AUSTRIA,Background,rural,16.636948,48.236668,0,8000,0,0,0,0,0,857.3720093,1.12612,95898.70313,9.6380901,0,0,0,0,0,2.0043199,5.5529399,148,10.7782001,2.8354101,26893.69922,12546.7002,735.2069702
37,AT30599,8,2010,day,29.941,AT30599,AUSTRIA,Traffic,urban,16.326399,48.306942,0,0,0,500,700,1100,0,0,0.359989,647316,41.7650986,9161.44043,0.554742,0,0,0,1.85676,5.54247,196,10.4464998,3.7024,45249.69922,72998.79688,12628.2998
38,AT30601,8,2010,day,17.5,AT30601,AUSTRIA,Background,suburban,16.304724,48.301388,0,2100,2800,0,0,0,0,857.3720093,0.48737,263721,4.8190398,0,0,0,0,0,1.70787,5.54073,317,10.4355001,3.7032299,39059.89844,31937,14877.09961
39,AT31204,8,2010,day,19.474,AT31204,AUSTRIA,Background,rural,15.207228,48.213055,0,600,0,0,0,1300,100,0,0.727869,0,0,27833.90039,1.57902,0,0,0,1.92689,5.4725399,212,9.2397203,0.799077,45890,0,11157.7998
40,AT31401,8,2010,day,19.62,AT31401,AUSTRIA,Background,suburban,16.302244,48.086109,0,0,0,100,200,2300,0,0,0.0558298,1936180,102.1149979,106684,7.6838999,0,45,0,1.98256,5.5163202,207,10.4392004,1.8291399,78119.79688,240668,20758.80078
41,AT31406,8,2010,day,30.094,AT31406,AUSTRIA,Traffic,suburban,16.337223,48.083332,0,800,0,0,0,2200,0,27.2318001,0.259075,1929340,100.8539963,116382,8.3824301,0,0,0,2.0043199,5.5181699,188,10.4921999,1.82935,45463.10156,299979,12412
42,AT31413,8,2010,day,30.334,AT31413,AUSTRIA,Traffic,suburban,16.330278,48.083889,0,200,0,400,400,1200,0,0,0.200109,2271420,123.5459976,29095.59961,2.0956099,0,0,0,2.0043199,5.5177999,191,10.4921999,1.82935,50158.89844,337619,12325.5
43,AT31502,8,2010,day,6.149,AT31502,AUSTRIA,Background,rural,15.854726,47.670002,0,2100,2400,0,0,0,0,614.4650269,0.584363,0,0,0,0,0,0,0,1.36138,5.4333601,880,7.1418099,3.1708801,10245.2002,0,0
44,AT31701,8,2010,day,12.859,AT31701,AUSTRIA,Background,rural,15.546679,48.371109,0,6100,0,0,0,900,0,755.2709961,0.747027,0,0,15953.2002,0.88082,0,0,0,1.7764601,5.51019,341,9.6069803,0,34364.19922,0,2032.630005
45,AT31703,8,2010,day,16.744,AT31703,AUSTRIA,Background,rural,15.746956,48.353333,0,1800,100,0,0,2400,0,199.9720001,0.863552,0,0,93479.60156,5.71486,0,0,0,1.96894,5.5174999,193,10.0911999,3.39188,40340.5,1140.609985,9946.919922
46,AT31901,8,2010,day,19.219,AT31901,AUSTRIA,Background,suburban,16.05945,48.33139,0,0,0,300,300,1900,0,0,0.46614,1062880,48.1903992,27484.30078,1.66423,0,107,0,1.9998699,5.5307999,177,10.3133001,2.67308,39273.30078,143716,11547.09961
47,AT31903,8,2010,day,13.994,AT31903,AUSTRIA,Background,rural,15.859731,48.331665,0,7000,0,0,0,0,0,857.3720093,1.03751,159831,4.0158701,0,0,0,0,0,1.99848,5.52036,183,10.2250004,2.562,31589.40039,30796.30078,778.4550171
48,AT31906,8,2010,day,9.187,AT31906,AUSTRIA,Background,rural,16.148624,48.282223,0,200,2900,0,0,0,0,857.3720093,1.09658,0,0,0,0,0,0,0,1.78003,5.52985,485,10.3172998,3.6284599,24118.90039,0,864.9500122
49,AT32302,8,2010,day,40.487,AT32302,AUSTRIA,Traffic,urban,15.611122,48.209999,0,200,100,0,0,2700,0,79.9886017,0.559641,199098,14.2241001,93479.60156,5.71486,0,0,0,1.99676,5.4918098,288,9.7218103,3.3134799,63178.80078,28515.09961,16780
50,AT32501,8,2010,day,22.328,AT32501,AUSTRIA,Background,urban,15.62028,48.409447,0,600,100,0,0,2300,0,188.8179932,0.329233,7485500,245.348999,43871.19922,2.42225,0,0,0,1.97877,5.5186701,195,9.6925802,3.4111199,54214.30078,114061,12887.7002
51,AT32604,8,2010,day,15.884,AT32604,AUSTRIA,Background,rural,14.77222,48.044998,0,6900,0,0,0,100,0,1194.550049,1.00464,0,0,0,0,0,0,0,1.9199899,5.4264102,346,9.3135405,0,56348.69922,9124.839844,5578.919922
52,AT4S156,8,2010,day,22.514,AT4S156,AUSTRIA,Background,suburban,13.040006,48.258335,0,0,0,0,0,2700,0,0,0.356572,1286450,0,82925.89844,4.7751999,0,0,0,2.0004101,5.4411998,350,9.4319496,2.22335,52777.39844,8343.360352,20582.19922
53,AT4S199,8,2010,day,13.065,AT4S199,AUSTRIA,Background,rural,14.361667,47.94389,0,900,1200,0,0,1500,0,360.5069885,0.619332,0,0,54612.60156,3.0796399,0,0,0,1.37089,5.3922,348,8.4305496,2.0213301,25826.5,0,5708.669922
54,AT4S404,8,2010,day,26.987,AT4S404,AUSTRIA,Background,suburban,14.238894,48.225277,0,0,0,0,0,2900,0,0,0.378569,3854940,140.5350037,208351,12.7256002,0,114,0,2.0034399,5.4394598,272,10.0576,0.7419,85590.20313,132310,15958.2998
55,AT4S407,8,2010,day,18.227,AT4S407,AUSTRIA,Background,suburban,13.66807,48.00111,0,800,400,0,0,2200,0,227.7720032,0.477324,0,0,55157.5,3.0444,0,0,0,1.92386,5.38936,417,8.7456198,2.0264699,52079.80078,0,16088.09961
56,AT4S409,8,2010,day,19.817,AT4S409,AUSTRIA,Background,suburban,14.440561,48.050831,0,0,0,0,0,2900,0,0,0.247867,13715700,827.5599976,78884.89844,4.44837,0,0,0,1.89692,5.4144902,305,9.3362198,0,53147,172231,15309.59961
57,AT4S412,8,2010,day,27.037,AT4S412,AUSTRIA,Background,suburban,14.310842,48.254444,0,0,0,800,100,1600,0,0,0.197773,3594790,144.0480042,128216,7.8311501,0,59,0,1.99011,5.4461002,256,9.9861698,0.751927,76625.70313,203028,12628.2998
58,AT4S416,8,2010,day,34.351,AT4S416,AUSTRIA,Background,urban,14.314736,48.274445,0,0,0,0,300,700,0,0,0.0152786,4375240,207.2890015,48081,2.9366801,0,100,0,1.99273,5.4496698,259,9.8862495,0.752958,159441,598818,8822.490234
59,AT51000,8,2010,day,58.645,AT51000,AUSTRIA,Traffic,urban,13.053614,47.797501,0,0,0,100,400,1000,0,0,0.032815,2661890,121.1070023,63294.19922,4.3123002,0,92,21,1.7685,5.35287,424,7.4447498,0,79827.29688,161966,16477.30078
60,AT52100,8,2010,day,15.276,AT52100,AUSTRIA,Industrial,rural,13.10584,47.666946,0,2200,2500,0,0,100,0,1261.449951,0.557511,1096070,72.1980972,0,0,0,0,0,1.58397,5.3231201,611,6.3192902,0,62538.5,50186.60156,4281.5
61,AT53055,8,2010,day,10.627,AT53055,AUSTRIA,Background,rural,13.015847,47.972778,0,2800,2200,0,0,100,0,1261.449951,0.749065,28469.40039,2.32897,0,0,0,0,0,1.85092,5.3893099,482,9.0238304,1.9758,12379.59961,9124.839844,994.6920166
62,AT55032,8,2010,day,15.245,AT55032,AUSTRIA,Background,suburban,13.806951,47.125832,0,1100,0,0,0,1800,0,99.0389023,0.123269,0,0,37820.5,2.5373499,0,0,0,1.37974,5.1734099,1012,2.8594301,1.1100301,34791,0,10163.2002
63,AT60106,8,2010,day,24.106,AT60106,AUSTRIA,Background,urban,15.079178,47.061665,0,700,0,0,100,2300,0,0,0.511202,1871850,104.6090012,45892.10156,2.5829401,0,0,0,1.72523,5.2595201,452,6.6536002,0.526991,41194.30078,66155.10156,15828.59961
64,AT60119,8,2010,day,19.614,AT60119,AUSTRIA,Background,urban,14.82445,47.210278,0,0,0,0,0,2900,0,0,0.214284,851011,56.1484985,62540.5,3.3238399,0,0,0,1.80888,5.2659402,648,5.1708398,1.1331199,50799.19922,46764.80078,20110.09961
65,AT60127,8,2010,day,4.44,AT60127,AUSTRIA,Background,rural,14.601683,47.218889,0,4700,900,0,0,0,0,508.3640137,0.436549,1327580,87.5915985,0,0,0,0,0,1.48792,5.2488499,772,4.5295,1.14872,19423.19922,45624.19922,2984.080078
66,AT60136,8,2010,day,24.058,AT60136,AUSTRIA,Industrial,rural,15.355281,47.119442,0,400,300,200,400,800,100,356.9639893,0.551616,1786090,79.5542984,45365,2.5427599,0,56,0,1.6677099,5.30165,371,8.4168196,1.12909,46743.80078,132310,8952.230469
67,AT60137,8,2010,day,7.21,AT60137,AUSTRIA,Background,rural,15.016666,47.059166,0,4000,800,0,0,0,0,1691.040039,0.968186,0,0,0,0,0,0,0,1.60734,5.2519898,879,6.2607198,0.527304,9178,0,216.2369995
68,AT60138,8,2010,day,24.367,AT60138,AUSTRIA,Background,suburban,15.41418,47.095554,0,0,0,200,400,1500,0,0,0.193301,2749020,150.4069977,120973,6.7806902,0,0,0,1.83495,5.3038502,359,8.8849802,0.562337,89005.29688,159685,17169.19922
69,AT60143,8,2010,day,20.723,AT60143,AUSTRIA,Background,urban,15.090005,47.383053,0,800,300,0,0,2600,0,36.7196999,0.216819,3547790,216.0059967,56150.30078,3.0941501,0,0,0,1.43657,5.3250299,538,5.7817101,1.8255,46103.5,126607,16217.7998
1,AT60151,8,2010,day,14.908,AT60151,AUSTRIA,Background,rural,15.495011,46.873055,0,700,2400,0,0,0,0,1691.040039,0.874466,0,0,0,0,0,0,0,1.7951699,5.2757401,433,9.9637899,0.565228,39059.89844,0,864.9500122
2,AT60164,8,2010,day,51.274,AT60164,AUSTRIA,Traffic,urban,15.417789,47.055553,0,0,0,100,300,2100,0,0,0.0322169,5529100,262.2810059,136095,7.6282701,0,111,0,1.97382,5.2973599,359,9.0645399,0.551322,96262.29688,285151,17731.5
3,AT60170,8,2010,day,34.887,AT60170,AUSTRIA,Background,urban,15.434175,47.041943,0,0,0,0,500,1900,0,0,0.0872213,5995040,305.7869873,120973,6.7806902,0,48,0,2.0019701,5.29704,340,9.3087397,0.549946,85163.29688,307963,12844.5
4,AT60171,8,2010,day,32.819,AT60171,AUSTRIA,Traffic,urban,15.466125,47.059444,0,0,0,0,500,1700,0,0,0.0463609,2671360,128.0330048,120973,6.7806902,0,128,0,1.93023,5.3036299,365,9.2519598,0.552047,76625.70313,133451,23699.59961
5,AT60181,8,2010,day,24.281,AT60181,AUSTRIA,Traffic,suburban,15.625286,47.221111,0,0,0,0,0,2900,0,0,0.599059,0,0,66377,3.70067,0,0,19,1.82219,5.3473401,468,8.56073,1.84525,43542.19922,50186.60156,18855.90039
6,AT60183,8,2010,day,22.645,AT60183,AUSTRIA,Industrial,rural,15.346955,47.205833,0,400,1400,0,100,1100,0,999.4979858,0.702485,838684,55.9365997,90730.10156,5.0855198,0,47,0,1.52004,5.3161302,409,7.9466801,1.72829,44395.89844,93529.60156,5492.430176
7,AT60185,8,2010,day,10.521,AT60185,AUSTRIA,Background,rural,15.956672,46.752777,0,1800,2300,0,0,0,0,2120.979981,1.18527,419445,14.2426996,0,0,0,0,0,1.95783,5.2892098,264,10.6434002,1.32575,39273.30078,10265.40039,1470.410034
8,AT60191,8,2010,day,20.108,AT60191,AUSTRIA,Industrial,rural,15.325563,47.142223,0,4000,0,0,0,800,0,1356.459961,0.623121,2174370,93.2276993,60486.69922,3.3903401,0,0,0,1.6851701,5.30229,378,8.1363297,1.13736,46316.89844,139154,5103.200195
9,AT60193,8,2010,day,17.452,AT60193,AUSTRIA,Industrial,suburban,15.146955,47.396114,0,2000,300,0,0,1800,0,110.1589966,0.368873,1448080,105.6029968,32754.30078,1.80492,0,0,0,1.37562,5.3322201,513,5.90797,1.83183,30949.09961,34218.19922,9427.950195
10,AT60195,8,2010,day,16.379,AT60195,AUSTRIA,Background,suburban,15.212789,46.813889,0,400,0,0,0,2900,0,0,0.553028,1178570,0,54236.10156,3.0525601,0,0,0,1.7186199,5.2262902,371,8.4824896,1.60114,45249.69922,46764.80078,14877.09961
11,AT60198,8,2010,day,22.471,AT60198,AUSTRIA,Background,suburban,16.078901,47.046944,0,300,0,0,0,2900,0,0,0.839668,4054630,156.6690063,66377,3.70067,0,0,0,1.9841599,5.3563499,271,10.1978998,1.3364201,36498.60156,28515.09961,12022.7998
12,AT72106,8,2010,day,37.487,AT72106,AUSTRIA,Traffic,urban,11.417789,47.271667,0,0,0,0,0,2900,0,0,0.0369371,15857700,790.6220093,187721,11.3824997,0,0,0,1.3040299,5.3357401,573,4.09798,1.38103,81961.70313,139154,23699.59961
13,AT72110,8,2010,day,43.603,AT72110,AUSTRIA,Traffic,urban,11.393064,47.263054,0,0,0,0,0,2800,0,0,0.0546467,834617,59.2966995,187721,11.3824997,0,0,0,1.30182,5.3360801,587,4.01017,0.919566,106934,31937,24953.80078
14,AT72123,8,2010,day,4.471,AT72123,AUSTRIA,Background,rural,11.378067,47.30611,0,5200,1100,0,0,0,0,646.2299805,0.310423,0,0,0,0,0,0,0,1.6013,5.3454099,1910,4.3854899,1.38542,0,0,0
15,AT72227,8,2010,day,40.169,AT72227,AUSTRIA,Traffic,suburban,11.512511,47.278057,0,0,0,0,0,2300,0,0,0.156603,0,0,173281,10.5068998,0,10,0,1.31033,5.3294101,556,4.2146401,1.38618,62111.60156,26233.90039,14401.40039
16,AT72311,8,2010,day,35.029,AT72311,AUSTRIA,Traffic,suburban,10.736114,47.218056,0,2100,100,0,1100,0,0,106.427002,0.0863817,12894700,618.2709961,0,0,0,0,0,0.518946,5.3733702,717,3.1679399,1.3961101,51439.5,31937,5535.680176
17,AT72530,8,2010,day,31.858,AT72530,AUSTRIA,Traffic,suburban,12.067509,47.489166,0,200,0,0,100,2800,0,0,0.206657,849811,21.9927998,85494,5.5567198,0,0,0,1.48835,5.3323002,510,5.74437,1.41871,46957.19922,0,16131.2998
18,AT72538,8,2010,day,24.768,AT72538,AUSTRIA,Background,rural,11.910563,47.459167,0,4200,1400,0,0,0,0,627.6389771,0.292644,0,0,0,0,0,0,0,1.3611799,5.3365102,621,5.4687099,1.45711,32229.69922,4562.419922,2032.630005
70,AT72550,8,2010,day,56.373,AT72550,AUSTRIA,Traffic,rural,11.958342,47.468891,0,4800,0,0,0,0,0,346.2839966,0.286338,0,0,0,0,0,0,0,1.40166,5.3350601,506,5.5706301,1.4220901,38206.10156,0,2032.630005
71,AT72710,8,2010,day,25.407,AT72710,AUSTRIA,Traffic,rural,10.744175,47.447781,0,3200,0,0,0,1900,0,83.822998,0.125511,0,0,53453.19922,3.5526099,0,0,0,0.831637,5.4109902,986,4.9344401,1.08234,20490.40039,0,2465.110107
72,AT72821,8,2010,day,67.711,AT72821,AUSTRIA,Traffic,suburban,11.693064,47.349167,0,2000,0,0,0,1300,0,194.7850037,0.202071,424906,0,35622.5,2.3153,10,0,0,1.2565399,5.3302898,553,4.6002302,1.4232301,45249.69922,0,13839.2002
73,AT72822,8,2010,day,41.522,AT72822,AUSTRIA,Traffic,rural,11.691675,47.346943,0,1000,0,0,0,2000,0,64.9281998,0.207803,424906,0,64120.5,4.1675401,0,0,0,1.21516,5.3298402,542,4.6002302,1.4232301,46530.30078,0,13147.2002
74,AT72912,8,2010,day,14.168,AT72912,AUSTRIA,Background,suburban,12.765831,46.819168,0,6700,0,0,0,0,0,482.5660095,0.0748126,2785750,0,0,0,0,0,0,0.313371,5.1038599,679,2.68011,1.71324,41194.30078,34218.19922,12195.7998
75,AT80503,8,2010,day,6.754,AT80503,AUSTRIA,Background,rural,9.926675,47.529167,0,3400,1600,0,0,0,0,1485.199951,0.954684,0,0,0,0,0,0,0,1.71319,5.4781499,1035,7.2802901,1.70137,15297.2002,0,994.6920166
76,AT80706,8,2010,day,22.815,AT80706,AUSTRIA,Background,urban,9.652781,47.410835,0,1400,0,0,0,1000,0,393.2919922,0.182902,3133810,57.6483002,34059.89844,2.18924,0,0,0,1.9271801,5.4842701,407,0,0,19636.69922,20530.90039,8865.730469
77,AT80709,8,2010,day,40.28,AT80709,AUSTRIA,Traffic,suburban,9.640284,47.458889,0,0,0,0,0,2300,0,0,0.197534,0,0,102180,6.5677299,0,0,12,2.0038199,5.49052,404,8.2870703,0,16861.90039,0,12974.2002
78,AT82708,8,2010,day,24.88,AT82708,AUSTRIA,Background,suburban,9.82723,47.156113,0,0,600,0,0,2300,0,111.0530014,0.142966,8428220,379.6929932,74703,5.1872101,0,0,0,0.991679,5.4405699,565,4.9549899,0.468392,34791,27374.5,16044.7998
79,AT82801,8,2010,day,29.116,AT82801,AUSTRIA,Traffic,rural,10.046956,47.127777,0,1100,1700,0,0,300,0,370.177002,0.247997,0,0,0,0,9,0,0,0.955569,5.4176898,1009,2.89451,0.465806,18996.30078,0,3459.800049
80,AT900KE,8,2010,day,31.656,AT900KE,AUSTRIA,Industrial,suburban,16.475565,48.156944,0,1500,0,400,500,700,0,479.0679932,0.13138,5020960,333.4259949,168818,12.2320004,0,0,0,2.0040901,5.5349302,154,10.6914997,0.942763,77266,423165,10855.09961
81,AT900ZA,8,2010,day,23.804,AT900ZA,AUSTRIA,Background,urban,16.357784,48.249168,0,0,0,800,0,1900,0,0,0.190492,2155420,193.6900024,506455,36.6960983,0,12,0,1.97109,5.5379,191,10.5018997,3.7441101,93914.5,119764,19591.09961
82,AT90AKC,8,2010,day,29.611,AT90AKC,AUSTRIA,Traffic,urban,16.345844,48.219166,0,0,0,0,1200,600,0,0,0,2855590,235.3439941,56272.80078,4.0773501,0,82,0,1.9960099,5.5338898,198,10.5025997,1.8583,131694,124326,23050.90039
83,AT90FLO,8,2010,day,31.743,AT90FLO,AUSTRIA,Traffic,urban,16.396955,48.260834,0,0,0,100,300,1300,0,0,0.0084041,3816610,379.0499878,393910,28.5414009,0,46,0,2.0008199,5.5415001,167,10.5499001,2.8115399,85590.20313,271464,12931
84,AT90LOB,8,2010,day,16.713,AT90LOB,AUSTRIA,Background,suburban,16.526674,48.162502,0,1300,1500,0,300,0,0,2107.899902,1.99937,267689,16.6615009,0,0,0,0,0,2.0002501,5.5385699,155,10.7283001,0.945115,21130.80078,116342,0
85,AT90MBA,8,2010,day,57.814,AT90MBA,AUSTRIA,Traffic,urban,16.301964,48.188889,0,0,0,200,0,2200,0,0,0,2457460,179.1109924,562728,40.7734985,0,190,4,1.98943,5.5279298,196,10.4322996,1.85533,107361,152841,17774.69922
86,AT90TAB,8,2010,day,42.783,AT90TAB,AUSTRIA,Traffic,urban,16.381958,48.218056,0,0,0,0,0,2700,0,0,0,3363560,214.5169983,731546,53.0055008,0,100,0,1.9962699,5.53582,168,10.5405998,0.93633,134468,237246,17645
87,AT9BELG,8,2010,day,35.685,AT9BELG,AUSTRIA,Traffic,urban,16.363068,48.175003,0,0,0,100,100,2500,0,0,0,2457460,227.0130005,619001,44.8507996,0,0,0,2.00194,5.5299301,221,10.5191002,1.85625,119954,231543,19591.09961
88,AT9JAEG,8,2010,day,13.233,AT9JAEG,AUSTRIA,Background,suburban,16.298903,48.271111,0,0,2800,0,0,0,0,2219.040039,2.0181999,141797,8.3307695,0,0,0,0,0,1.71583,5.5369802,483,10.4366999,3.7077899,38633,9124.839844,172.9900055
89,AT9LIES,8,2010,day,29.664,AT9LIES,AUSTRIA,Traffic,suburban,16.296677,48.138058,0,0,0,0,1000,200,0,0,0.0087822,5195740,567.7529907,56272.80078,4.0773501,0,0,0,2.00425,5.5218501,213,10.4153004,1.85096,74704.70313,362713,13493.2002
90,AT9SCHA,8,2010,day,19.486,AT9SCHA,AUSTRIA,Background,suburban,16.303057,48.235832,0,0,0,300,400,2200,0,0,0.647113,1249320,120.7959976,506455,36.6960983,0,0,0,1.86221,5.5332298,312,10.4291,3.71562,51439.5,90107.79688,22272.5
91,AT9STEF,8,2010,day,29.793,AT9STEF,AUSTRIA,Background,urban,16.373894,48.208889,0,0,0,0,200,2600,0,0,0,3240000,304.072998,619001,44.8507996,0,0,0,1.9970599,5.53441,185,10.5408001,0.936117,136816,144857,18596.40039
96,BELHB23,8,2010,day,32.517,BELHB23,BELGIUM,Background,suburban,4.339736,51.170555,0,0,0,0,0,1500,0,0,0.504604,1193480,107.0910034,124931,9.5493803,0,0,0,1.99395,2.7781501,8,11.5134001,1.11182,104014,274535,8614.599609
97,BELLD01,8,2010,day,27.631,BELLD01,BELGIUM,Industrial,suburban,5.003578,51.110516,0,200,0,0,0,1600,0,0,1.31759,2939800,205.7610016,37614.60156,2.62446,0,0,0,2.0024199,4.6118798,18,11.5438995,4.3262,60727,226491,6738.540039
98,BELLD02,8,2010,day,24.921,BELLD02,BELGIUM,Background,suburban,5.020258,51.120922,0,1400,800,0,900,300,0,336.993988,1.3874201,3073430,208.7290039,4701.830078,0.328058,0,0,0,2.003,4.6248698,26,11.5374002,4.3260798,66644,231393,4326.450195
99,BELSZ01,8,2010,day,31.064,BELSZ01,BELGIUM,Traffic,suburban,4.502914,50.915119,0,0,0,0,0,400,0,0,0.331238,239987,23.1438007,0,0,0,99,0,2.00172,4.2632999,23,11.4329004,3.34817,157890,388270,8882.610352
100,BELSZ02,8,2010,day,27.7,BELSZ02,BELGIUM,Background,suburban,4.510914,50.913564,0,600,0,300,200,1600,0,65.8143997,0.391942,203989,22.4204998,72323.39844,6.1230402,0,36,0,2.0041299,4.2708001,27,11.4364996,3.3480301,155399,375524,9533.5
101,BETB004,8,2010,day,42.905,BETB004,BELGIUM,Traffic,urban,4.347322,50.851353,0,0,0,100,0,2200,0,0,0,5518610,479.4920044,1007700,91.6978989,0,0,0,1.9955601,4.3617201,20,11.3703003,3.3843501,215192,232374,15314.90039
102,BETB005,8,2010,day,40.492,BETB005,BELGIUM,Traffic,urban,4.377467,50.840668,0,0,0,500,900,300,0,0,0,4323860,411.6000061,232546,21.1611004,0,0,15,1.99977,4.3987198,67,11.3590002,3.3876801,192769,130404,16157.2002
103,BETB006,8,2010,day,36.608,BETB006,BELGIUM,Background,urban,4.373122,50.839172,0,0,0,200,1200,500,0,0,0,4409200,415.8429871,77515.39844,7.0536799,0,34,0,1.99977,4.3994799,69,11.3590002,3.3876801,200555,132365,15927.40039
104,BETE007,8,2010,day,25.233,BETE007,BELGIUM,Industrial,rural,4.251367,50.795845,0,5500,0,0,0,1400,0,493.6080017,0.736083,204661,4.3394599,63282.89844,5.3576598,0,0,0,2.00401,4.4250202,50,11.3191004,0,52941.5,23531.5,6432.240234
