"OBJECTID","station_eu","component_","statistics","statisti_1","statistic_","station__1","country_na","type_of_st","station_ty","station__2","station_la","nb_luabloc","nb_luAgloc2010","nb_luFrloc","nb_luGUloc","nb_luIdloc2010","nb_luUrloc2010","nb_pop2010","nb_proxAg_empl","nb_proxAg_gva","nb_proxId_empl","nb_proxId_gva","nb_proxUr_empl","nb_proxUr_gva","nb_rHloc","nb_rLloc","nb_rMloc","nb_toploc","re_coastal","re_mdtall","re_tempall","re_windspa","r_proxIf2010","r_proxIn2010","r_proxUr2010","station_code_norm","longitude_recovered","latitude_recovered","coord_source","key_source_column","n_metadata_records","n_unique_coord_pairs","coordinate_ambiguous","coordinate_match","station_country_code","country_name_original"
35,"AT30403",8,2010,"day",15.373,"AT30403","AUSTRIA","Background","rural",16.522228,48.392223,0,6600,0,0,0,0,0,739.1129761,0.879666,287696,4.0158701,0,0,0,0,0,1.95815,5.5624299,228,10.5276003,3.6877799,43328.69922,41061.80078,5405.930176,"AT30403",16.522277831971,48.3922729493193,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
36,"AT30407",8,2010,"day",15.629,"AT30407","AUSTRIA","Background","rural",16.636948,48.236668,0,8000,0,0,0,0,0,857.3720093,1.12612,95898.70313,9.6380901,0,0,0,0,0,2.0043199,5.5529399,148,10.7782001,2.8354101,26893.69922,12546.7002,735.2069702,"AT30407",16.6370849606142,48.2366943357662,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
37,"AT30599",8,2010,"day",29.941,"AT30599","AUSTRIA","Traffic","urban",16.326399,48.306942,0,0,0,500,700,1100,0,0,0.359989,647316,41.7650986,9161.44043,0.554742,0,0,0,1.85676,5.54247,196,10.4464998,3.7024,45249.69922,72998.79688,12628.2998,"AT30599",16.3264770504126,48.3068847655332,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
38,"AT30601",8,2010,"day",17.5,"AT30601","AUSTRIA","Background","suburban",16.304724,48.301388,0,2100,2800,0,0,0,0,857.3720093,0.48737,263721,4.8190398,0,0,0,0,0,1.70787,5.54073,317,10.4355001,3.7032299,39059.89844,31937,14877.09961,"AT30601",16.3046874996097,48.3015136718216,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
39,"AT31204",8,2010,"day",19.474,"AT31204","AUSTRIA","Background","rural",15.207228,48.213055,0,600,0,0,0,1300,100,0,0.727869,0,0,27833.90039,1.57902,0,0,0,1.92689,5.4725399,212,9.2397203,0.799077,45890,0,11157.7998,"AT31204",15.2072753902885,48.2130737303215,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
40,"AT31401",8,2010,"day",19.62,"AT31401","AUSTRIA","Background","suburban",16.302244,48.086109,0,0,0,100,200,2300,0,0,0.0558298,1936180,102.1149979,106684,7.6838999,0,45,0,1.98256,5.5163202,207,10.4392004,1.8291399,78119.79688,240668,20758.80078,"AT31401",16.3023071284984,48.086120605618,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
41,"AT31406",8,2010,"day",30.094,"AT31406","AUSTRIA","Traffic","suburban",16.337223,48.083332,0,800,0,0,0,2200,0,27.2318001,0.259075,1929340,100.8539963,116382,8.3824301,0,0,0,2.0043199,5.5181699,188,10.4921999,1.82935,45463.10156,299979,12412,"AT31406",16.3372802735628,48.0833129881664,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
42,"AT31413",8,2010,"day",30.334,"AT31413","AUSTRIA","Traffic","suburban",16.330278,48.083889,0,200,0,400,400,1200,0,0,0.200109,2271420,123.5459976,29095.59961,2.0956099,0,0,0,2.0043199,5.5177999,191,10.4921999,1.82935,50158.89844,337619,12325.5,"AT31413",16.3303222656301,48.0839233396726,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
43,"AT31502",8,2010,"day",6.149,"AT31502","AUSTRIA","Background","rural",15.854726,47.670002,0,2100,2400,0,0,0,0,614.4650269,0.584363,0,0,0,0,0,0,0,1.36138,5.4333601,880,7.1418099,3.1708801,10245.2002,0,0,"AT31502",15.8546752929151,47.670104980677,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
44,"AT31701",8,2010,"day",12.859,"AT31701","AUSTRIA","Background","rural",15.546679,48.371109,0,6100,0,0,0,900,0,755.2709961,0.747027,0,0,15953.2002,0.88082,0,0,0,1.7764601,5.51019,341,9.6069803,0,34364.19922,0,2032.630005,"AT31701",15.5466918943594,48.3710937498202,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
45,"AT31703",8,2010,"day",16.744,"AT31703","AUSTRIA","Background","rural",15.746956,48.353333,0,1800,100,0,0,2400,0,199.9720001,0.863552,0,0,93479.60156,5.71486,0,0,0,1.96894,5.5174999,193,10.0911999,3.39188,40340.5,1140.609985,9946.919922,"AT31703",15.7468872073382,48.3532714842285,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
46,"AT31901",8,2010,"day",19.219,"AT31901","AUSTRIA","Background","suburban",16.05945,48.33139,0,0,0,300,300,1900,0,0,0.46614,1062880,48.1903992,27484.30078,1.66423,0,107,0,1.9998699,5.5307999,177,10.3133001,2.67308,39273.30078,143716,11547.09961,"AT31901",16.0595092769507,48.331481933621,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
47,"AT31903",8,2010,"day",13.994,"AT31903","AUSTRIA","Background","rural",15.859731,48.331665,0,7000,0,0,0,0,0,857.3720093,1.03751,159831,4.0158701,0,0,0,0,0,1.99848,5.52036,183,10.2250004,2.562,31589.40039,30796.30078,778.4550171,"AT31903",15.8596801756721,48.3317260739513,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
48,"AT31906",8,2010,"day",9.187,"AT31906","AUSTRIA","Background","rural",16.148624,48.282223,0,200,2900,0,0,0,0,857.3720093,1.09658,0,0,0,0,0,0,0,1.78003,5.52985,485,10.3172998,3.6284599,24118.90039,0,864.9500122,"AT31906",16.1486816404717,48.2822875978537,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
49,"AT32302",8,2010,"day",40.487,"AT32302","AUSTRIA","Traffic","urban",15.611122,48.209999,0,200,100,0,0,2700,0,79.9886017,0.559641,199098,14.2241001,93479.60156,5.71486,0,0,0,1.99676,5.4918098,288,9.7218103,3.3134799,63178.80078,28515.09961,16780,"AT32302",15.6110839846296,48.2100830080076,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
50,"AT32501",8,2010,"day",22.328,"AT32501","AUSTRIA","Background","urban",15.62028,48.409447,0,600,100,0,0,2300,0,188.8179932,0.329233,7485500,245.348999,43871.19922,2.42225,0,0,0,1.97877,5.5186701,195,9.6925802,3.4111199,54214.30078,114061,12887.7002,"AT32501",15.6203002934062,48.4094848630273,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
51,"AT32604",8,2010,"day",15.884,"AT32604","AUSTRIA","Background","rural",14.77222,48.044998,0,6900,0,0,0,100,0,1194.550049,1.00464,0,0,0,0,0,0,0,1.9199899,5.4264102,346,9.3135405,0,56348.69922,9124.839844,5578.919922,"AT32604",14.7722778318652,48.0451049804051,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
52,"AT4S156",8,2010,"day",22.514,"AT4S156","AUSTRIA","Background","suburban",13.040006,48.258335,0,0,0,0,0,2700,0,0,0.356572,1286450,0,82925.89844,4.7751999,0,0,0,2.0004101,5.4411998,350,9.4319496,2.22335,52777.39844,8343.360352,20582.19922,"AT4S156",13.040100097976,48.2584838866933,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
53,"AT4S199",8,2010,"day",13.065,"AT4S199","AUSTRIA","Background","rural",14.361667,47.94389,0,900,1200,0,0,1500,0,360.5069885,0.619332,0,0,54612.60156,3.0796399,0,0,0,1.37089,5.3922,348,8.4305496,2.0213301,25826.5,0,5708.669922,"AT4S199",14.3616943358907,47.9439086911203,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
54,"AT4S404",8,2010,"day",26.987,"AT4S404","AUSTRIA","Background","suburban",14.238894,48.225277,0,0,0,0,0,2900,0,0,0.378569,3854940,140.5350037,208351,12.7256002,0,114,0,2.0034399,5.4394598,272,10.0576,0.7419,85590.20313,132310,15958.2998,"AT4S404",14.2388916011443,48.2252807618755,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
55,"AT4S407",8,2010,"day",18.227,"AT4S407","AUSTRIA","Background","suburban",13.66807,48.00111,0,800,400,0,0,2200,0,227.7720032,0.477324,0,0,55157.5,3.0444,0,0,0,1.92386,5.38936,417,8.7456198,2.0264699,52079.80078,0,16088.09961,"AT4S407",13.6680908200124,48.0010986329005,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
56,"AT4S409",8,2010,"day",19.817,"AT4S409","AUSTRIA","Background","suburban",14.440561,48.050831,0,0,0,0,0,2900,0,0,0.247867,13715700,827.5599976,78884.89844,4.44837,0,0,0,1.89692,5.4144902,305,9.3362198,0,53147,172231,15309.59961,"AT4S409",14.4406738284967,48.0509033201115,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
57,"AT4S412",8,2010,"day",27.037,"AT4S412","AUSTRIA","Background","suburban",14.310842,48.254444,0,0,0,800,100,1600,0,0,0.197773,3594790,144.0480042,128216,7.8311501,0,59,0,1.99011,5.4461002,256,9.9861698,0.751927,76625.70313,203028,12628.2998,"AT4S412",14.3109130858175,48.2545166016866,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
58,"AT4S416",8,2010,"day",34.351,"AT4S416","AUSTRIA","Background","urban",14.314736,48.274445,0,0,0,0,300,700,0,0,0.0152786,4375240,207.2890015,48081,2.9366801,0,100,0,1.99273,5.4496698,259,9.8862495,0.752958,159441,598818,8822.490234,"AT4S416",14.3148803713023,48.274475097809,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
59,"AT51000",8,2010,"day",58.645,"AT51000","AUSTRIA","Traffic","urban",13.053614,47.797501,0,0,0,100,400,1000,0,0,0.032815,2661890,121.1070023,63294.19922,4.3123002,0,92,21,1.7685,5.35287,424,7.4447498,0,79827.29688,161966,16477.30078,"AT51000",13.0537109372747,47.7974853516896,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
60,"AT52100",8,2010,"day",15.276,"AT52100","AUSTRIA","Industrial","rural",13.10584,47.666946,0,2200,2500,0,0,100,0,1261.449951,0.557511,1096070,72.1980972,0,0,0,0,0,1.58397,5.3231201,611,6.3192902,0,62538.5,50186.60156,4281.5,"AT52100",13.1058959963205,47.6668701169949,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
61,"AT53055",8,2010,"day",10.627,"AT53055","AUSTRIA","Background","rural",13.015847,47.972778,0,2800,2200,0,0,100,0,1261.449951,0.749065,28469.40039,2.32897,0,0,0,0,0,1.85092,5.3893099,482,9.0238304,1.9758,12379.59961,9124.839844,994.6920166,"AT53055",13.0159301760618,47.9729003904865,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
62,"AT55032",8,2010,"day",15.245,"AT55032","AUSTRIA","Background","suburban",13.806951,47.125832,0,1100,0,0,0,1800,0,99.0389023,0.123269,0,0,37820.5,2.5373499,0,0,0,1.37974,5.1734099,1012,2.8594301,1.1100301,34791,0,10163.2002,"AT55032",13.8068847660671,47.1259155271848,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
63,"AT60106",8,2010,"day",24.106,"AT60106","AUSTRIA","Background","urban",15.079178,47.061665,0,700,0,0,100,2300,0,0,0.511202,1871850,104.6090012,45892.10156,2.5829401,0,0,0,1.72523,5.2595201,452,6.6536002,0.526991,41194.30078,66155.10156,15828.59961,"AT60106",15.0792846682823,47.0617065430745,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
64,"AT60119",8,2010,"day",19.614,"AT60119","AUSTRIA","Background","urban",14.82445,47.210278,0,0,0,0,0,2900,0,0,0.214284,851011,56.1484985,62540.5,3.3238399,0,0,0,1.80888,5.2659402,648,5.1708398,1.1331199,50799.19922,46764.80078,20110.09961,"AT60119",14.8245239260447,47.2103271482934,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
65,"AT60127",8,2010,"day",4.44,"AT60127","AUSTRIA","Background","rural",14.601683,47.218889,0,4700,900,0,0,0,0,508.3640137,0.436549,1327580,87.5915985,0,0,0,0,0,1.48792,5.2488499,772,4.5295,1.14872,19423.19922,45624.19922,2984.080078,"AT60127",14.6016845703917,47.2188720700133,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
66,"AT60136",8,2010,"day",24.058,"AT60136","AUSTRIA","Industrial","rural",15.355281,47.119442,0,400,300,200,400,800,100,356.9639893,0.551616,1786090,79.5542984,45365,2.5427599,0,56,0,1.6677099,5.30165,371,8.4168196,1.12909,46743.80078,132310,8952.230469,"AT60136",15.3552856442215,47.1195068357253,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
67,"AT60137",8,2010,"day",7.21,"AT60137","AUSTRIA","Background","rural",15.016666,47.059166,0,4000,800,0,0,0,0,1691.040039,0.968186,0,0,0,0,0,0,0,1.60734,5.2519898,879,6.2607198,0.527304,9178,0,216.2369995,"AT60137",15.0167236329203,47.0590820315468,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
68,"AT60138",8,2010,"day",24.367,"AT60138","AUSTRIA","Background","suburban",15.41418,47.095554,0,0,0,200,400,1500,0,0,0.193301,2749020,150.4069977,120973,6.7806902,0,0,0,1.83495,5.3038502,359,8.8849802,0.562337,89005.29688,159685,17169.19922,"AT60138",15.4143066409327,47.0957031252831,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
69,"AT60143",8,2010,"day",20.723,"AT60143","AUSTRIA","Background","urban",15.090005,47.383053,0,800,300,0,0,2600,0,36.7196999,0.216819,3547790,216.0059967,56150.30078,3.0941501,0,0,0,1.43657,5.3250299,538,5.7817101,1.8255,46103.5,126607,16217.7998,"AT60143",15.0900878905341,47.383117676058,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
1,"AT60151",8,2010,"day",14.908,"AT60151","AUSTRIA","Background","rural",15.495011,46.873055,0,700,2400,0,0,0,0,1691.040039,0.874466,0,0,0,0,0,0,0,1.7951699,5.2757401,433,9.9637899,0.565228,39059.89844,0,864.9500122,"AT60151",15.4951171875485,46.8731079100791,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
2,"AT60164",8,2010,"day",51.274,"AT60164","AUSTRIA","Traffic","urban",15.417789,47.055553,0,0,0,100,300,2100,0,0,0.0322169,5529100,262.2810059,136095,7.6282701,0,111,0,1.97382,5.2973599,359,9.0645399,0.551322,96262.29688,285151,17731.5,"AT60164",15.4179077147172,47.0554809567544,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
3,"AT60170",8,2010,"day",34.887,"AT60170","AUSTRIA","Background","urban",15.434175,47.041943,0,0,0,0,500,1900,0,0,0.0872213,5995040,305.7869873,120973,6.7806902,0,48,0,2.0019701,5.29704,340,9.3087397,0.549946,85163.29688,307963,12844.5,"AT60170",15.4343261719611,47.0418701170953,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
4,"AT60171",8,2010,"day",32.819,"AT60171","AUSTRIA","Traffic","urban",15.466125,47.059444,0,0,0,0,500,1700,0,0,0.0463609,2671360,128.0330048,120973,6.7806902,0,128,0,1.93023,5.3036299,365,9.2519598,0.552047,76625.70313,133451,23699.59961,"AT60171",15.4661254882782,47.0595092773049,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
5,"AT60181",8,2010,"day",24.281,"AT60181","AUSTRIA","Traffic","suburban",15.625286,47.221111,0,0,0,0,0,2900,0,0,0.599059,0,0,66377,3.70067,0,0,19,1.82219,5.3473401,468,8.56073,1.84525,43542.19922,50186.60156,18855.90039,"AT60181",15.6253051761633,47.2211303708908,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
6,"AT60183",8,2010,"day",22.645,"AT60183","AUSTRIA","Industrial","rural",15.346955,47.205833,0,400,1400,0,100,1100,0,999.4979858,0.702485,838684,55.9365997,90730.10156,5.0855198,0,47,0,1.52004,5.3161302,409,7.9466801,1.72829,44395.89844,93529.60156,5492.430176,"AT60183",15.3471069336155,47.2058715820831,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
7,"AT60185",8,2010,"day",10.521,"AT60185","AUSTRIA","Background","rural",15.956672,46.752777,0,1800,2300,0,0,0,0,2120.979981,1.18527,419445,14.2426996,0,0,0,0,0,1.95783,5.2892098,264,10.6434002,1.32575,39273.30078,10265.40039,1470.410034,"AT60185",15.9567260741309,46.7526855468838,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
8,"AT60191",8,2010,"day",20.108,"AT60191","AUSTRIA","Industrial","rural",15.325563,47.142223,0,4000,0,0,0,800,0,1356.459961,0.623121,2174370,93.2276993,60486.69922,3.3903401,0,0,0,1.6851701,5.30229,378,8.1363297,1.13736,46316.89844,139154,5103.200195,"AT60191",15.3256835936145,47.142272949451,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
9,"AT60193",8,2010,"day",17.452,"AT60193","AUSTRIA","Industrial","suburban",15.146955,47.396114,0,2000,300,0,0,1800,0,110.1589966,0.368873,1448080,105.6029968,32754.30078,1.80492,0,0,0,1.37562,5.3322201,513,5.90797,1.83183,30949.09961,34218.19922,9427.950195,"AT60193",15.1470947269361,47.3961181641984,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
10,"AT60195",8,2010,"day",16.379,"AT60195","AUSTRIA","Background","suburban",15.212789,46.813889,0,400,0,0,0,2900,0,0,0.553028,1178570,0,54236.10156,3.0525601,0,0,0,1.7186199,5.2262902,371,8.4824896,1.60114,45249.69922,46764.80078,14877.09961,"AT60195",15.2128906252806,46.8139038088096,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
11,"AT60198",8,2010,"day",22.471,"AT60198","AUSTRIA","Background","suburban",16.078901,47.046944,0,300,0,0,0,2900,0,0,0.839668,4054630,156.6690063,66377,3.70067,0,0,0,1.9841599,5.3563499,271,10.1978998,1.3364201,36498.60156,28515.09961,12022.7998,"AT60198",16.0789184566424,47.0468749997806,"EEA AirBase v8 ArcGIS","station_european_code",1,1,FALSE,TRUE,"AT","AUSTRIA"
