"OBJECTID","station_european_code","station_local_code","country_iso_code","country_name","station_name","station_start_date","station_end_date","type_of_station","station_ozone_classification","station_type_of_area","station_subcat_rural_back","street_type","station_longitude_deg","station_latitude_deg","station_altitude","station_city","lau_level1_code","lau_level2_code","lau_level2_name","EMEP_station","arcgis_longitude","arcgis_latitude"
80,"AT31301","031301","AT","Austria","Mistelbach",568252800000,NA,"Background","suburban","suburban","near city",NA,16.58057,48.578609,250,"MISTELBACH",NA,"31633","Mistelbach","no",16.5806884764472,48.5786743166925
81,"AT31401","031401","AT","Austria","Mödling",494380800000,NA,"Background","suburban","suburban",NA,"Unknown",16.302244,48.086109,210,"MÖDLING",NA,"31717","Mödling","no",16.3023071284984,48.086120605618
82,"AT31402","031402","AT","Austria","Vösendorf",675734400000,NA,"Traffic",NA,"suburban",NA,"Highway: average speed vehicles > 80 km/h",16.331682,48.125,194,"VÖSENDORF",NA,"31723","Vösendorf","no",16.3317260746027,48.1251220701928
83,"AT31403","031403","AT","Austria","Brunn am Gebirge",7.30944e+11,"2005-12-31","Background",NA,"suburban",NA,"Unknown",16.283333,48.110832,288,"BRUNN AM GEBIRGE",NA,NA,NA,"no",16.2833251956407,48.1109008789595
84,"AT31406","031406","AT","Austria","Biedermannsdorf Mühlengasse",1171497600000,NA,"Traffic","suburban","suburban","near city","Highway: average speed vehicles > 80 km/h",16.337223,48.083332,188,"BIEDERMANNSDORF",NA,NA,NA,"no",16.3372802735628,48.0833129881664
85,"AT31413","031413","AT","Austria","Wiener Neudorf",1212537600000,NA,"Traffic",NA,"suburban",NA,"Highway: average speed vehicles > 80 km/h",16.330278,48.083889,219,"WIENER NEUDORF",NA,"31725","Wiener Neudorf","no",16.3303222656301,48.0839233396726
86,"AT31496","031496","AT","Austria","Biedermannsdorf Sportplatz",831686400000,"2007-02-15","Background",NA,"rural","near city",NA,16.348612,48.081112,180,"BIEDERMANNSDORF",NA,NA,NA,"no",16.3486938480496,48.0811157229121
87,"AT31501","031501","AT","Austria","Ternitz",523238400000,"2011-10-01","Background","urban","urban",NA,"Unknown",16.044456,47.716667,380,"TERNITZ",NA,NA,NA,"no",16.0444946286794,47.7166748044231
88,"AT31502","031502","AT","Austria","Payerbach",738892800000,NA,"Background","rural","rural","regional",NA,15.854726,47.670002,890,NA,NA,"31821","Payerbach","no",15.8546752929151,47.670104980677
89,"AT31701","031701","AT","Austria","Dunkelsteinerwald",628473600000,NA,"Background","rural","rural","near city","Unknown",15.546679,48.371109,305,NA,NA,"31303","Bergern im Dunkelsteinerwald","no",15.5466918943594,48.3710937498202
90,"AT31703","031703","AT","Austria","Traismauer",410227200000,NA,"Background",NA,"rural","regional","Unknown",15.746956,48.353333,190,"TRAISMAIER",NA,"31943","Traismauer","no",15.7468872073382,48.3532714842285
91,"AT31901","031901","AT","Austria","Tulln Leopoldgasse",1182988800000,NA,"Background","urban","suburban",NA,"Unknown",16.05945,48.33139,290,"TULLN",NA,NA,NA,"no",16.0595092769507,48.331481933621
92,"AT31902","031902","AT","Austria","Zwentendorf",410227200000,NA,"Background",NA,"rural",NA,"Unknown",15.909175,48.328331,200,NA,NA,"32141","Zwentendorf an der Donau","no",15.9093017582058,48.3283081056845
93,"AT31903","031903","AT","Austria","Trasdorf im Tullnerfeld",410227200000,"2011-12-31","Background",NA,"rural","regional","Unknown",15.859731,48.331667,192,NA,NA,NA,NA,"no",15.8596801756721,48.3317260739513
94,"AT31904","031904","AT","Austria","Streithofen im Tullnerfeld",410227200000,NA,"Background","rural","rural",NA,"Unknown",15.936114,48.276665,220,NA,NA,"32120","Michelhausen","no",15.9360961917658,48.2766723634719
95,"AT31905","031905","AT","Austria","Neusiedl im Tullnerfeld",410227200000,"2011-12-31","Background",NA,"rural","near city","Unknown",15.966667,48.322222,182,NA,NA,NA,NA,"no",15.9666748045114,48.3223266603946
96,"AT31906","031906","AT","Austria","Tulbinger Kogel",410227200000,"2011-12-31","Background",NA,"rural","near city","Unknown",16.148625,48.282222,495,NA,NA,NA,NA,"no",16.1486816404717,48.2822875978537
97,"AT31991","031991","AT","Austria","Tulln Wilhelmstraße",410227200000,"2007-06-27","Industrial",NA,"urban",NA,"Unknown",16.057222,48.329998,190,"TULLN",NA,NA,NA,"no",16.0573120121387,48.3300781247916
98,"AT32101","032101","AT","Austria","Wiesmath",7.20576e+11,NA,"Background","rural","rural","regional",NA,16.293064,47.608334,738,NA,NA,"32335","Wiesmath","no",16.2930908206202,47.6082763669215
99,"AT32201","32201","AT","Austria","Großgöttfritz",688953600000,"2000-11-23","Background",NA,"rural",NA,NA,15.166667,48.530834,710,NA,NA,NA,NA,"no",15.1666870120288,48.5308837892537
100,"AT32301","032301","AT","Austria","St. Pölten - Eybnerstraße",442627200000,NA,"Background","suburban","suburban",NA,"Unknown",15.63168,48.211391,270,"SANKT POELTEN",NA,"30201","St. Pölten","no",15.6317138669947,48.2114868162757
101,"AT32302","032302","AT","Austria","St. Pölten - Europaplatz",1041379200000,NA,"Traffic",NA,"urban",NA,"Wide street: L/H > 1.5",15.611122,48.209999,271,"SANKT POELTEN",NA,"30201","St. Pölten","no",15.6110839846296,48.2100830080076
102,"AT32391","032391","AT","Austria","St. Pölten Landhaus",473385600000,"1992-09-21","Industrial",NA,"suburban",NA,NA,15.633056,48.201389,265,"SANKT PÖLTEN",NA,NA,NA,"no",15.6331176759673,48.201477050697
103,"AT32401","032401","AT","Austria","Wiener Neustadt - Neuklosterwiese",465436800000,NA,"Background","suburban","suburban",NA,"Unknown",16.255003,47.814167,265,"WIENER NEUSTADT",NA,"30401","Wiener Neustadt","no",16.255126953108,47.8140869139094
104,"AT32501","032501","AT","Austria","Krems",499651200000,NA,"Background","suburban","urban",NA,"Unknown",15.62028,48.409447,190,"KREMS",NA,"30101","Krems an der Donau","no",15.6203002934062,48.4094848630273
105,"AT32603","032603","AT","Austria","Waidhofen an der Ybbs",912470400000,"2009-04-30","Background","suburban","suburban",NA,"Unknown",14.787226,47.961391,460,"WAIDHOFEN AN DER YBBS",NA,NA,NA,"no",14.7872924801365,47.9614868161197
106,"AT32604","032604","AT","Austria","Kematen",1241740800000,NA,"Background",NA,"rural","regional",NA,14.77222,48.044998,750,"KEMATEN",NA,"30517","Kematen an der Ybbs","no",14.7722778318652,48.0451049804051
107,"AT32701","032701","AT","Austria","Schwechat Sportplatz",494380800000,NA,"Background","suburban","suburban",NA,"Unknown",16.474451,48.145,155,"SCHWECHAT",NA,"32419","Schwechat","no",16.4744873043456,48.1450805661546
108,"AT32702","032702","AT","Austria","Mannswörth A4",617932800000,NA,"Traffic","suburban","suburban",NA,"Highway: average speed vehicles > 80 km/h",16.511667,48.150833,159,"SCHWECHAT",NA,NA,NA,"no",16.5117187502538,48.1508789064692
109,"AT32792","032792","AT","Austria","Mannswörth Freizeitgelände",1018742400000,"2006-10-11","Industrial",NA,"suburban",NA,NA,16.523611,48.145557,155,"SCHWECHAT",NA,NA,NA,"no",16.5236816409435,48.1456909180471
110,"AT4BERN","04BERN","AT","Austria","Linz Bernaschekplatz",946684800000,NA,"Traffic",NA,"urban",NA,"Wide street: L/H > 1.5",14.281403,48.310555,260,"LINZ",NA,"40101","Linz","no",14.2814941406116,48.3104858399827
111,"AT4S108","04S108","AT","Austria","Grünbach bei Freistadt",504921600000,NA,"Background","rural background","rural","regional","Wide street: L/H > 1.5",14.574728,48.531113,918,NA,NA,"40602","Grünbach","no",14.5747070314306,48.5311279299713
112,"AT4S125","04S125","AT","Austria","Bad Ischl",6.70464e+11,NA,"Background","suburban","suburban",NA,"Wide street: L/H > 1.5",13.632792,47.716667,460,"BAD ISCHL",NA,"40703","Bad Ischl","no",13.6328735353117,47.7166748044231
113,"AT4S131","04S131","AT","Austria","Linz Tankhafen",951004800000,NA,"Industrial",NA,"urban",NA,NA,14.337502,48.294445,254,"LINZ",NA,"40101","Linz","no",14.3375244139766,48.2944946287307
114,"AT4S156","04S156","AT","Austria","Braunau Zentrum",9.38736e+11,NA,"Background","suburban","suburban",NA,"Wide street: L/H > 1.5",13.040006,48.258335,350,"BRAUNAU",NA,"40404","Braunau am Inn","no",13.040100097976,48.2584838866933
115,"AT4S165","04S217","AT","Austria","Enns Kristein A1",1041379200000,NA,"Traffic","rural","rural",NA,"Highway: average speed vehicles > 80 km/h",14.454169,48.206944,282,"ENNS",NA,"41005","Enns","no",14.4542846677954,48.2070922852365
116,"AT4S166","04S166","AT","Austria","Weibern A8",1041379200000,"2004-12-31","Traffic",NA,"rural",NA,"Highway: average speed vehicles > 80 km/h",13.683614,48.17889,450,NA,NA,"40833","Weibern","no",13.6837158205187,48.1788940429165
117,"AT4S169","04S169","AT","Austria","Haid - Ansfelden",1079481600000,"2005-08-18","Traffic",NA,"suburban",NA,"Wide street: L/H > 1.5",14.25112,48.2,280,"ANSFELDEN",NA,NA,NA,"no",14.2510986323687,48.2000732422755
118,"AT4S171","04S171","AT","Austria","Enns Eckmayermühle B309",1124841600000,"2007-12-31","Traffic",NA,"rural",NA,"Wide street: L/H > 1.5",14.433889,48.209724,260,"ENNS",NA,NA,NA,"no",14.433898925965,48.2097167968125
